,Neighborhood,Exter Qual,Kitchen Qual,Garage Qual,Fireplace Qu,Bsmt Qual,Heating QC,Garage Finish,Overall Qual,House Style
1334,BrkSide,TA,Gd,TA,Gd,TA,Ex,Unf,6,1.5Fin
1335,BrkSide,TA,TA,TA,Fa,TA,Ex,Unf,5,1Story
1336,BrkSide,TA,TA,TA,Gd,TA,TA,RFn,6,1.5Fin
1338,BrkSide,TA,TA,TA,Gd,TA,Ex,Unf,6,1.5Fin
1340,BrkSide,TA,TA,Fa,Gd,TA,TA,RFn,5,1.5Fin
1344,BrkSide,TA,TA,TA,Gd,TA,TA,Unf,5,1.5Fin
1345,BrkSide,TA,TA,TA,Gd,TA,TA,Unf,7,1.5Fin
1347,OldTown,TA,TA,Fa,TA,TA,Gd,Unf,7,1.5Fin
1351,BrkSide,TA,Gd,TA,Gd,TA,Gd,Unf,6,1.5Fin
1357,OldTown,TA,Gd,TA,Gd,TA,Fa,Unf,8,2Story
1361,IDOTRR,TA,TA,TA,Gd,TA,TA,Unf,6,1.5Fin
1364,IDOTRR,TA,TA,TA,Gd,TA,TA,Unf,6,1.5Fin
1372,Sawyer,TA,TA,TA,TA,TA,Ex,Unf,5,1Story
1373,Sawyer,TA,TA,TA,Gd,TA,TA,Unf,5,1.5Fin
1378,Sawyer,TA,TA,TA,Fa,TA,TA,Unf,6,SLvl
1382,Sawyer,TA,TA,TA,Po,Gd,Ex,Fin,6,SFoyer
1390,Sawyer,TA,TA,TA,TA,TA,TA,Unf,6,1Story
1391,Sawyer,TA,TA,TA,Gd,Gd,TA,Unf,5,1Story
1392,ClearCr,TA,TA,TA,Gd,Gd,Gd,RFn,6,1Story
1395,ClearCr,TA,TA,TA,TA,TA,Gd,Unf,5,1Story
1398,ClearCr,TA,Gd,TA,Gd,Gd,Ex,Unf,6,1Story
1399,ClearCr,TA,TA,TA,TA,Gd,Ex,Fin,7,2Story
1400,ClearCr,TA,TA,TA,Gd,Gd,TA,Fin,7,1Story
1401,ClearCr,TA,TA,TA,TA,Gd,Ex,Unf,7,1Story
1402,ClearCr,TA,Gd,TA,Gd,Gd,Ex,Fin,4,1Story
1403,Edwards,TA,Ex,TA,Gd,TA,Gd,RFn,6,SLvl
1404,Edwards,TA,TA,TA,Gd,TA,TA,Unf,7,1.5Fin
1405,Edwards,TA,TA,TA,Gd,TA,Ex,RFn,6,1Story
1406,ClearCr,TA,TA,Fa,Gd,TA,TA,Unf,6,1.5Fin
1408,Edwards,TA,TA,TA,Gd,Gd,Ex,Fin,6,1.5Fin
1409,Edwards,TA,Gd,TA,TA,TA,Ex,Unf,6,2Story
1410,Edwards,TA,Gd,TA,TA,TA,TA,Unf,5,1Story
1418,SawyerW,TA,Gd,TA,Ex,Gd,Ex,Unf,7,2Story
1419,SawyerW,Gd,Gd,TA,TA,Gd,Ex,Fin,6,2Story
1420,SawyerW,Gd,Gd,TA,TA,Gd,Ex,RFn,7,1Story
1421,SawyerW,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
1422,SawyerW,Gd,Gd,TA,TA,Gd,Ex,Fin,7,SLvl
1423,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1424,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1425,CollgCr,Gd,Ex,Gd,Gd,Gd,Ex,RFn,9,1Story
1426,CollgCr,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
1427,SawyerW,Gd,Gd,TA,TA,Gd,Ex,Unf,7,2Story
1428,SawyerW,Gd,Gd,TA,Fa,Gd,Ex,Fin,8,SLvl
1429,ClearCr,TA,TA,TA,Gd,Gd,Ex,Unf,6,1Story
1434,CollgCr,TA,Gd,TA,TA,Gd,Ex,RFn,7,1Story
1440,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,7,1Story
1441,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
1443,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
1448,CollgCr,TA,TA,TA,Fa,TA,TA,Unf,5,1Story
1453,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1454,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,2Story
1455,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
1456,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
1457,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Fin,8,2Story
1458,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
1459,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Fin,8,2Story
1460,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Fin,9,2Story
1461,CollgCr,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
1462,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,Unf,8,2Story
1464,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,2Story
1466,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Unf,8,2Story
1467,CollgCr,Gd,Gd,TA,TA,Gd,Ex,Unf,7,2Story
1470,CollgCr,TA,Gd,TA,TA,Gd,Ex,Fin,6,1Story
1480,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1481,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,6,1Story
1482,CollgCr,Gd,Gd,TA,TA,Gd,Ex,RFn,6,1Story
1483,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,1Story
1484,CollgCr,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,1Story
1490,Edwards,TA,TA,TA,Po,TA,TA,Unf,6,1Story
1493,Edwards,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1494,Edwards,TA,TA,TA,Fa,TA,TA,RFn,6,SLvl
1495,Edwards,TA,TA,TA,TA,TA,TA,Fin,6,2Story
1498,Edwards,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,2Story
1517,SWISU,TA,Gd,TA,Gd,TA,Ex,Unf,5,2.5Fin
1518,SWISU,TA,TA,TA,Gd,TA,Fa,Unf,6,1.5Fin
1519,SWISU,TA,TA,TA,Gd,TA,Ex,Unf,7,1Story
1522,SWISU,TA,TA,TA,Gd,TA,Ex,Unf,6,2.5Unf
1523,Crawfor,TA,TA,TA,Gd,TA,Ex,Unf,6,2Story
1524,Crawfor,TA,TA,TA,Gd,Ex,Fa,Fin,6,2.5Fin
1528,Crawfor,Gd,Gd,TA,Gd,Fa,Ex,Unf,8,2Story
1530,Crawfor,TA,TA,TA,Gd,TA,TA,Unf,6,2Story
1531,Crawfor,TA,TA,TA,Gd,Gd,TA,RFn,7,2Story
1532,Crawfor,TA,TA,TA,Gd,TA,Fa,Unf,6,2Story
1533,Crawfor,TA,Gd,TA,Gd,TA,Ex,Unf,5,1.5Fin
1535,Crawfor,TA,TA,TA,TA,TA,Fa,Fin,6,1Story
1536,Crawfor,TA,TA,Fa,Gd,TA,TA,Fin,8,2Story
1537,Crawfor,TA,Gd,TA,Gd,TA,Ex,Unf,8,1.5Fin
1538,Crawfor,Gd,Gd,TA,TA,TA,Ex,Unf,7,1.5Fin
1539,Crawfor,TA,Gd,TA,TA,TA,Ex,Fin,7,1.5Fin
1540,Crawfor,TA,TA,TA,TA,TA,Ex,Unf,5,1Story
1541,Crawfor,Gd,Gd,TA,Gd,TA,Ex,Unf,6,1Story
1542,Blueste,TA,TA,TA,TA,Gd,TA,Unf,6,2Story
1543,Blueste,TA,TA,TA,TA,Gd,TA,Fin,6,2Story
1548,IDOTRR,TA,TA,Ex,Gd,TA,Ex,Fin,5,1Story
1550,IDOTRR,Fa,TA,TA,Po,Gd,Ex,Unf,5,SLvl
1559,Crawfor,Ex,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
1560,Crawfor,Ex,Ex,TA,Gd,Ex,Ex,Fin,8,1Story
1561,Crawfor,Gd,Ex,TA,Gd,Ex,Ex,Fin,7,1Story
1562,Crawfor,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
1564,Mitchel,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1565,Mitchel,TA,Gd,TA,TA,Gd,Ex,Unf,7,2Story
1566,Mitchel,TA,TA,TA,Po,TA,TA,Fin,6,SLvl
1567,Mitchel,TA,TA,TA,Fa,TA,TA,Unf,6,1Story
1569,Mitchel,TA,TA,TA,TA,Gd,Gd,Unf,4,1Story
1570,Timber,TA,TA,TA,Gd,TA,Ex,Fin,5,1.5Fin
1571,Timber,Gd,Gd,TA,TA,Gd,Gd,Fin,7,1Story
1572,Timber,Gd,Gd,TA,Gd,Gd,TA,Fin,8,1Story
1574,Timber,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1575,Timber,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,2Story
1579,Timber,TA,TA,TA,TA,Gd,Ex,Unf,6,1Story
1580,Timber,TA,TA,TA,TA,Gd,TA,Fin,6,1Story
1581,Timber,Gd,Gd,TA,Fa,Gd,Ex,Unf,6,1Story
1582,Timber,Gd,Gd,TA,Fa,Gd,Ex,RFn,6,SLvl
1583,Timber,Gd,Gd,TA,TA,Ex,Ex,Fin,8,1Story
1585,Timber,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,2Story
1586,Timber,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
1587,Timber,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,1Story
1594,MeadowV,TA,TA,TA,Gd,Gd,TA,Fin,5,2Story
1595,MeadowV,TA,TA,TA,TA,Gd,TA,Unf,5,2Story
1597,MeadowV,TA,TA,TA,Po,Gd,TA,RFn,4,SLvl
1604,Mitchel,Gd,Gd,TA,Ex,TA,Ex,Unf,5,1Story
1609,Mitchel,TA,TA,TA,Po,TA,Ex,RFn,5,2Story
1611,NAmes,TA,TA,TA,Gd,TA,TA,Unf,6,1Story
1612,NAmes,TA,TA,TA,Po,TA,TA,Unf,7,1Story
1613,NAmes,TA,TA,TA,Gd,Gd,Ex,Fin,7,1Story
1614,NAmes,Gd,Gd,TA,TA,TA,Ex,Unf,8,1Story
1615,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1616,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,2Story
1618,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,2Story
1619,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,SLvl
1621,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,SLvl
1622,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,6,2Story
1624,Gilbert,TA,TA,TA,TA,Gd,Gd,Fin,7,1Story
1625,Gilbert,TA,TA,TA,TA,Gd,Ex,Fin,6,2Story
1627,Gilbert,Gd,Gd,TA,TA,Gd,Gd,RFn,7,SLvl
1628,Gilbert,TA,Gd,TA,TA,Gd,Gd,Fin,7,SLvl
1629,Gilbert,TA,TA,TA,TA,Gd,Gd,RFn,6,2Story
1630,Gilbert,TA,TA,TA,TA,TA,Fa,Unf,6,1Story
1632,StoneBr,Gd,Gd,TA,TA,Gd,Gd,Fin,7,2Story
1634,StoneBr,Gd,Gd,TA,TA,Gd,Gd,RFn,8,1Story
1635,StoneBr,Gd,Gd,TA,Gd,Ex,Ex,Fin,9,1Story
1636,StoneBr,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
1637,StoneBr,Ex,Gd,Gd,Gd,Ex,Ex,Fin,9,1Story
1639,StoneBr,Gd,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
1640,StoneBr,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1641,StoneBr,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
1642,StoneBr,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,1Story
1643,NWAmes,Gd,Gd,TA,TA,Gd,Ex,Fin,6,1Story
1645,NWAmes,TA,TA,TA,TA,Gd,Ex,Fin,6,SLvl
1646,NWAmes,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
1647,NWAmes,TA,Gd,TA,TA,Gd,TA,Fin,7,1Story
1648,NWAmes,TA,Gd,TA,TA,Gd,TA,Fin,7,2Story
1649,NWAmes,TA,TA,TA,Gd,Gd,TA,RFn,7,2Story
1650,NWAmes,TA,Gd,TA,TA,TA,TA,Fin,6,2Story
1651,NWAmes,TA,TA,TA,TA,Gd,TA,Unf,6,SLvl
1653,NWAmes,TA,TA,TA,TA,TA,TA,RFn,7,SLvl
1654,NWAmes,TA,TA,TA,TA,Gd,Ex,RFn,6,1Story
1656,NWAmes,TA,TA,TA,TA,TA,TA,Unf,6,1Story
1657,NWAmes,TA,TA,TA,TA,Gd,Gd,Unf,5,1Story
1658,NWAmes,Gd,TA,TA,Gd,TA,Gd,Unf,6,2Story
1659,NWAmes,TA,TA,TA,TA,Gd,TA,RFn,7,2Story
1660,NWAmes,TA,Gd,TA,Fa,Gd,TA,Fin,7,SLvl
1661,NWAmes,TA,TA,TA,TA,TA,TA,Unf,6,2Story
1673,NAmes,Gd,Gd,TA,TA,Gd,Ex,Fin,6,1Story
1674,NAmes,Gd,Gd,TA,TA,Gd,Ex,Fin,6,1Story
1680,NPkVill,TA,TA,TA,TA,Gd,TA,RFn,6,1Story
1681,NPkVill,TA,Gd,TA,TA,Gd,TA,Unf,6,2Story
1684,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
1685,NridgHt,Ex,Gd,TA,Gd,Ex,Ex,Unf,9,1Story
1687,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
1688,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,RFn,8,1Story
1689,NridgHt,Gd,Gd,TA,Ex,Gd,Ex,Fin,8,1Story
1690,NridgHt,Ex,Ex,TA,Ex,Ex,Ex,Fin,9,1Story
1691,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,2Story
1692,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
1693,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,1Story
1694,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,RFn,7,2Story
1695,NridgHt,Ex,Ex,TA,Ex,Ex,Ex,Fin,9,1Story
1696,NridgHt,Gd,Gd,TA,Gd,Gd,Gd,Fin,8,1Story
1697,NridgHt,Ex,Ex,TA,Gd,Gd,Ex,Fin,9,2Story
1698,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1699,NridgHt,Gd,Gd,TA,Ex,Ex,Ex,RFn,8,1Story
1700,NridgHt,Gd,Ex,TA,Ex,Ex,Ex,Fin,9,2Story
1701,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,1Story
1702,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,Unf,8,2Story
1703,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,2Story
1704,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
1705,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
1706,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
1707,NridgHt,Gd,Ex,TA,Ex,Gd,Ex,RFn,8,2Story
1708,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,2Story
1709,NridgHt,Gd,Gd,TA,Gd,Ex,Ex,Fin,8,2Story
1710,NridgHt,Gd,Ex,TA,Gd,Gd,Ex,Fin,8,2Story
1711,NridgHt,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
1715,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,1Story
1716,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,1Story
1717,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,1Story
1718,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,1Story
1719,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1720,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1721,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1722,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,1Story
1723,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
1724,NridgHt,Ex,Ex,TA,Gd,Ex,Ex,RFn,9,1Story
1725,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
1726,NridgHt,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
1728,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,2Story
1729,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,6,2Story
1731,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,2Story
1732,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Unf,6,2Story
1734,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1737,Gilbert,TA,Gd,TA,Gd,Gd,Ex,Fin,6,2Story
1741,Blmngtn,Gd,Gd,TA,Gd,Ex,Ex,Fin,7,1Story
1742,Blmngtn,Gd,Gd,TA,Gd,Ex,Ex,Fin,7,1Story
1743,Blmngtn,Gd,Gd,TA,TA,Gd,Ex,Fin,8,1Story
1744,Blmngtn,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,1Story
1745,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,1Story
1747,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,SLvl
1748,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1749,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
1750,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1751,Gilbert,Gd,Gd,TA,TA,Gd,Ex,Fin,7,SLvl
1752,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1753,Gilbert,TA,TA,TA,TA,Gd,Ex,RFn,6,2Story
1754,Gilbert,Gd,Gd,TA,Gd,Gd,Ex,Fin,7,2Story
1755,Gilbert,TA,TA,TA,TA,Gd,Ex,RFn,6,2Story
1756,Gilbert,TA,TA,TA,TA,Gd,Ex,RFn,7,SLvl
1758,Gilbert,TA,TA,TA,TA,Gd,Ex,RFn,6,2Story
1759,Gilbert,TA,TA,TA,TA,Gd,Ex,RFn,6,2Story
1760,NoRidge,Gd,Ex,TA,TA,Ex,Ex,Fin,10,2Story
1761,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,8,2Story
1762,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,8,2Story
1763,NoRidge,Ex,Ex,TA,Gd,Ex,Ex,RFn,10,1Story
1764,NoRidge,Gd,Gd,TA,TA,Ex,Ex,Fin,9,2Story
1765,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,8,2Story
1766,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
1767,NoRidge,Ex,Ex,TA,Ex,Ex,Ex,Fin,10,2Story
1768,NoRidge,Gd,TA,TA,TA,Gd,Ex,Unf,7,2Story
1769,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
1770,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
1771,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
1772,NoRidge,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1773,NoRidge,Gd,Gd,TA,TA,Ex,Ex,RFn,8,2Story
1774,NoRidge,Gd,Gd,TA,TA,Gd,Ex,RFn,8,2Story
1776,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Unf,8,1Story
1777,Somerst,Ex,Ex,TA,Gd,Ex,Ex,Fin,9,1Story
1779,Somerst,Gd,Gd,TA,Gd,Gd,Gd,Fin,8,1Story
1780,Somerst,Ex,Ex,TA,Gd,Ex,Ex,Fin,10,1Story
1781,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1782,Somerst,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
1783,Somerst,Gd,Gd,TA,TA,Gd,Ex,Unf,7,1Story
1784,Somerst,Ex,Ex,TA,Gd,Ex,Ex,Fin,7,1Story
1786,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,1Story
1789,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,7,1Story
1790,Somerst,Gd,Gd,TA,Gd,Ex,Ex,RFn,8,1Story
1797,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,2Story
1798,Somerst,Gd,Ex,TA,Gd,Gd,Ex,Fin,8,2Story
1799,Somerst,Gd,Ex,TA,Gd,Ex,Ex,Fin,8,2Story
1802,Somerst,Ex,Ex,TA,Gd,Gd,Ex,Fin,8,1Story
1803,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
1804,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,6,2Story
1805,Somerst,Gd,Gd,TA,Gd,Gd,Ex,RFn,8,2Story
1813,SawyerW,Gd,Gd,TA,Fa,Gd,Ex,RFn,7,1Story
1815,SawyerW,TA,TA,TA,TA,TA,Ex,RFn,6,2Story
1823,Sawyer,TA,TA,TA,TA,TA,TA,RFn,5,1Story
1827,Veenker,Gd,Gd,TA,TA,Gd,Gd,RFn,7,2Story
1828,Veenker,Gd,Gd,TA,Gd,TA,TA,RFn,7,2Story
1830,Sawyer,TA,TA,TA,TA,Gd,TA,Fin,5,SFoyer
1831,Sawyer,TA,Gd,TA,TA,Gd,TA,RFn,6,1Story
1832,NoRidge,Gd,Gd,Gd,Ex,Ex,Ex,RFn,8,2Story
1833,NoRidge,Gd,Gd,TA,TA,Gd,Ex,Fin,8,1.5Fin
1834,Somerst,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
1837,Somerst,Gd,Gd,TA,Gd,Ex,Ex,RFn,7,1Story
1838,Somerst,Gd,Gd,TA,Gd,Ex,Ex,RFn,7,1Story
1842,Somerst,TA,TA,TA,TA,Gd,Gd,Unf,6,2Story
1843,Somerst,TA,TA,TA,Fa,Gd,Gd,Unf,6,2Story
1844,Somerst,Gd,Gd,TA,TA,Gd,Ex,Unf,6,2Story
1846,Somerst,Gd,Gd,TA,TA,Gd,Ex,Unf,6,2Story
1849,Somerst,Gd,Gd,TA,TA,Gd,Ex,RFn,7,2Story
1851,Somerst,Gd,Gd,TA,Gd,Ex,Ex,Unf,8,2Story
1852,Somerst,Gd,Gd,Gd,TA,Ex,Ex,RFn,8,2Story
1853,Veenker,Gd,Gd,TA,Gd,Gd,Ex,Fin,8,1Story
1854,Veenker,Gd,Gd,Gd,TA,Gd,Ex,RFn,7,1Story
1855,Veenker,TA,Gd,TA,TA,Gd,Ex,Unf,5,SLvl
1856,Veenker,Gd,Gd,TA,Fa,Gd,TA,RFn,5,1Story
1857,Greens,Gd,Gd,TA,TA,Gd,TA,Fin,8,1Story
1858,Veenker,Gd,TA,TA,TA,TA,Ex,RFn,6,SLvl
1859,Veenker,TA,TA,TA,TA,Gd,Ex,RFn,6,1Story
1860,Veenker,Gd,Gd,TA,Gd,Gd,Gd,RFn,8,1Story
1861,Sawyer,TA,TA,TA,TA,Gd,Ex,RFn,5,1.5Fin
1862,Somerst,Gd,Gd,TA,TA,Gd,Ex,Fin,7,2Story
1864,NWAmes,TA,TA,TA,Po,TA,TA,RFn,6,2Story
1867,NWAmes,TA,Gd,TA,TA,TA,TA,RFn,7,1Story
1868,NWAmes,TA,Gd,TA,TA,Gd,Ex,RFn,7,1Story
1869,NWAmes,Gd,Gd,TA,Gd,Gd,Ex,Unf,7,2Story
1871,NWAmes,TA,TA,TA,Fa,TA,Gd,RFn,6,1Story
1872,NWAmes,TA,TA,TA,TA,TA,Fa,Unf,7,1Story
1875,NAmes,TA,TA,TA,Fa,TA,TA,RFn,5,1Story
1877,NAmes,TA,TA,TA,TA,TA,TA,Unf,5,1Story
1880,NAmes,TA,TA,TA,TA,TA,TA,RFn,5,1Story
1885,NAmes,TA,Gd,TA,Gd,TA,Gd,Unf,5,1Story
1887,NAmes,TA,TA,TA,TA,TA,TA,RFn,5,1Story
1888,NAmes,TA,TA,TA,Fa,TA,Ex,Fin,5,1Story
1890,NAmes,TA,TA,TA,TA,TA,Ex,RFn,7,1Story
1893,NAmes,TA,TA,TA,Gd,TA,Ex,RFn,6,2Story
1894,NAmes,TA,TA,TA,TA,TA,TA,RFn,6,1Story
1895,NAmes,TA,Gd,TA,Gd,TA,Gd,RFn,6,1Story
1896,NAmes,TA,Gd,TA,Gd,TA,Ex,Unf,6,1Story
1899,NAmes,TA,Gd,TA,Gd,TA,Ex,Unf,6,1Story
1905,NAmes,TA,TA,TA,TA,TA,TA,RFn,6,2Story
1908,NAmes,TA,TA,TA,Gd,TA,TA,Unf,5,1.5Fin
1909,NAmes,TA,Gd,TA,Gd,TA,Ex,Unf,5,2Story
1911,NAmes,TA,TA,TA,TA,TA,Ex,Fin,5,SFoyer
1912,NAmes,TA,TA,TA,Gd,TA,TA,RFn,6,SLvl
1915,NAmes,TA,TA,TA,Po,Gd,TA,Unf,6,2Story
1922,NAmes,TA,TA,TA,Gd,TA,Ex,Unf,6,1Story
1923,NAmes,TA,TA,TA,Gd,TA,TA,RFn,5,1Story
1924,NAmes,TA,TA,TA,TA,TA,Gd,Unf,6,1Story
1927,NAmes,TA,TA,TA,TA,Gd,Gd,Unf,6,1Story
1928,NAmes,TA,TA,TA,TA,TA,TA,RFn,5,1Story
1936,NAmes,TA,TA,TA,TA,TA,TA,Unf,5,SLvl
1938,NAmes,TA,TA,TA,TA,TA,TA,Unf,5,1Story
1940,NAmes,TA,TA,TA,Fa,TA,Gd,Fin,4,1Story
1944,NAmes,TA,TA,TA,Gd,TA,Ex,Unf,5,1.5Fin
1952,NAmes,TA,TA,TA,TA,TA,TA,Unf,7,SLvl
1955,NAmes,TA,Fa,TA,TA,Gd,TA,Unf,5,2Story
1956,NAmes,TA,TA,TA,Po,TA,Ex,Unf,5,1.5Fin
1957,NAmes,TA,TA,TA,Gd,TA,TA,Unf,6,1Story
1958,NAmes,TA,TA,TA,Gd,TA,Ex,Unf,6,1.5Fin
1960,NAmes,TA,TA,TA,TA,TA,Fa,Unf,5,1Story
1964,NAmes,TA,TA,TA,TA,TA,TA,RFn,5,1Story
